Params;Dataset Fake;Dataset General;;;
Number of Tweets;1500;163096;;;
Unique Account;1117;143905;;;
Verified Account;858;16720;;;
Distinct Language;33;1 (en);;;
Organisation/Celebrity;792;16324;;;
Bot Account;24;1206;;;
Tweet without Hashtags;1066;134242;;;
Tweet without mentions;1195;71316;;;
Tweet with Emoji;188;14021;;;
Median Retweet Count;165;8;;;
Median Favorite Count;2744;9695;;;
Median Followers Count;74131;935;;;
Median Friends Count;531;654;;;
Median Account Age (d);82;108;;;
;;;;;
