Type;Link;First-Shared
fake;"[Who: ""Daily media briefing on #2019nCoV with @DrTedros""](https://www.pscp.tv/w/crk5uji2mtaymhwxwmtlekx3zuxswkp2uyshzlcvq_ert2xaeyceulujhjmytwgpwcovr7qjusc=)";11/02/2020
fake;"[Travelito: ""Some of Italian nurses & doctors after long hours of work in intensive care. ""](https://twitter.com/travelito24/status/1241684250031783938)";24/03/2020
fake;[Breast Milk Could Hold Clues to Coronavirus Protection. This New York City Researcher Wants to Study Yours.](https://bit.ly/2ut91yf);09/04/2020
fake;['Sports Tower' at Gachibowli Stadium turns into Covid-19 isolation centre](https://bit.ly/2wv5v3t);21/04/2020
partiallyfalse;[Spike mutation pipeline reveals the emergence of a more transmissible form of SARS-CoV-2 | bioRxiv](https://www.biorxiv.org/content/10.1101/2020.04.29.069054v1);06/05/2020
fake;[Ni Italia ha descubierto la cura del coronavirus, ni la causa de la enfermedad es una bacteria, ni la OMS ha prohibido hacer autopsias - Maldita.es](https://buff.ly/2sfj4b2);07/05/2020
partiallyfalse;[Coronavirus News and Latest Updates](https://cnb.cx/2u4uc6g);19/05/2020
fake;[ArcGIS Dashboards](https://arcg.is/xvusx);20/05/2020
fake;[Rep. Alexandria Ocasio-Cortez says essential workers 'keep the lights on in our society' - ABC News](https://abcn.ws/2ljnk53);20/05/2020
fake;"[Mumbai Police: ""We appreciate your concern sir, but this is an old video from 16.05.2020 and is not related to COVID-19.""](https://twitter.com/mumbaipolice/status/1264660808254054400?s=19)";24/05/2020
fake;[SSP](https://bit.ly/2zf867w);25/05/2020
partiallyfalse;[Video su YouTube](https://youtu.be/ilxrmk8epjq);26/05/2020
partiallyfalse;[@OfficeofUT](https://twitter.com/ramkadam/status/1265492365336293377);27/05/2020
fake;[#StopDCR](http://desantisactnow.com);27/05/2020
fake;[This Is Daddy Yankee | Spotify Playlist](https://open.spotify.com/playlist/37i9dqzf1dwvec1on0czuo?si=79rjb-_7q-aywdcxlopbqa);06/06/2020
partiallyfalse;"[Who: ""Media briefing on #COVID19 with @DrTedros""](https://www.pscp.tv/w/caz-iji2mtaymhwxqmrhww5qv29kqupyhvrpcrkovt4aqjw_f7fyg8xxfkg5eetozlnqgkfe62a=)";08/06/2020
fake;"[CNBC: ""Coronavirus patients without symptoms aren�t driving the spread of the virus, the WHO says.""](https://twitter.com/cnbc/status/1270057840774983683)";08/06/2020
fake;[Advice on the use of masks in the community, during home care and in healthcare settings in the context of the novel coronavirus (COVID-19) outbreak](https://www.who.int/publications/i/item/advice-on-the-use-of-masks-in-the-community-during-home-care-and-in-healthcare-settings-in-the-context-of-the-novel-coronavirus-(2019-ncov)-outbreak);08/06/2020
partiallyfalse;[Factors that make an infectious disease outbreak controllable | PNAS](https://www.pnas.org/content/101/16/6146);08/06/2020
fake;"[Fernán Quirós: ""[AHORA] Conferencia de prensa junto a Daniel Ferrante, Gabriel Battistella, Paula Zingoni y Laura Cordero para informar sobre la situación sanitaria actual de la Ciudad.""](https://www.pscp.tv/w/ca4tqdf6dkvoywviwvlkamv8mu9ks3jxruxmrvfhwps1jth-5zlfnj_k8guanbzj2kfts450swehaqyvbhhz)";09/06/2020
fake;[Newsmax TV | Live News | Videos - Find NewsmaxTV](http://nws.mx/tv);09/06/2020
fake;[@PIBFactCheck](https://twitter.com/pibfactcheck/status/1270641032909123585);10/06/2020
fake;"[Bruselas confirma; ""La tencolog�a 5G es perjudicial para la Salud Humana y el Medio Ambiente""](https://plataforma.quieroauditoriaenergetica.org/blog/14-categoria-blog-1/513-bruselas-5ge-covid)";11/06/2020
fake;[Concealed firearm permit frequently asked questions](https://bci.utah.gov/concealed-firearm/general-information/concealed-firearm-permit-frequently-asked-questions/);24/06/2020
fake;"[""D�ganle chau a las elecciones que se nos van.""](https://twitter.com/carolourdesm/status/1275891764562464768)";24/06/2020
partiallyfalse;[Video su su YouTube](https://youtu.be/sbmgj3acg2y?t=2);25/06/2020
fake;[California Gov. Gavin Newsom on The View: 'We are the most un-Trump state in America' - ABC News](http://abcn.ws/31hdv8p);10/02/2020
fake;"[Who: ""Media briefing on #COVID19 with @DrTedros. #coronavirus""](https://www.pscp.tv/w/cte04ti2mtaymhwxzgp4wffrcufwvktapjgvdykprvkmqx0ql9kidsnjzyp0uddstx5lwsbm8uq=)";11/03/2020
fake;[Robredo on quarantine: Too much focus on police, military, too little on health](http://bit.ly/3czfslp);15/03/2020
partiallyfalse;[The New Humanitarian | News feature](https://bit.ly/3a9atrj);15/04/2020
fake;"[Le secrétaire d'Etat Cédric O sur le traçage des malades : ""Oui, l'application StopCovid est utile""](https://www.lejdd.fr/politique/le-secretaire-detat-cedric-o-sur-le-tracage-des-malades-oui-lapplication-stopcovid-est-utile-3964376)";26/04/2020
fake;[gst.gov.in](http://gst.gov.in);03/05/2020
fake;[Chinese Site](https://www3.nhk.or.jp/news/html/20200512/k10012426541000.html);12/05/2020
partiallyfalse;[Update on Dane County�s progress during the COVID-19 pandemic](https://publichealthmdc.com/documents/forward_dane.pdf);19/05/2020
fake;[Over 100 Recoverded from Covid-19 with CDS by Physicians of the AEMEMI](https://lbry.tv/@kalcker:7/100-recovered-aememi-1:7);20/05/2020
fake;[GEN](http://gen.com.py);21/05/2020
fake;[ScienceDirect](https://www.sciencedirect.com/science/article/pii/s0761842517309415);21/05/2020
fake;[unnwo.org](https://unnwo.org/);24/05/2020
partiallyfalse;[Wisconsin tourism officials encourage people to not travel to seasonal homes](https://www.nbc15.com/content/news/wisconsin-tourism-officials-encourage-people-to-not-travel-outside-home-communities-570735071.html);26/05/2020
fake;[Files � master � TousAntiCovid sources / StopCovid iOS � GitLab](https://gitlab.inria.fr/stopcovid19/stopcovid-ios/-/blob/master/stopcovid-ios.zip);26/05/2020
fake;[Files � master � TousAntiCovid sources / StopCovid android � GitLab](https://gitlab.inria.fr/stopcovid19/stopcovid-android/-/blob/master/stopcovid-android.zip);26/05/2020
fake;[Coronavirus en Barranquilla: ciudadanos se niegan a practicarse test de COVID-19](http://buff.ly/302mj07);02/06/2020
partiallyfalse;[IBERIA.COM in Italia - i migliori prezzi per i voli Iberia](http://iberia.com);04/06/2020
fake;[Fact check: Ramakrishna hospital has neither been sealed nor has its staff tested positive for COVID 19](https://newsmeter.in/fact-check-ramakrishna-hospital-has-neither-been-sealed-nor-has-its-staff-tested-positive-for-covid-19/amp/);08/06/2020
