favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
17,Twitter for Android,"b'@senadormotoa @MinSaludCol Equivocado de principio a fin , si hay un sitio en donde se ven resultados es ac\xc3\xa1, Creci\xe2\x80\xa6 https://t.co/uI4E6Fm73x'",senadormotoa,False,Fri Jul 24 12:44:01 +0000 2020,6,b'1286643297402920960'
216,SnapStream TV Search,"b'Ian Haydon, who is participating in a vaccine trial for coronavirus, says he feels \xe2\x80\x9ctotally normal\xe2\x80\x9d after taking bo\xe2\x80\xa6 https://t.co/6KVqUx18c2'",,False,Tue May 26 00:56:04 +0000 2020,66,b'1265084253357907969'
3941,Twitter for iPhone,"b'MINUTO DE SIRENE \n\nNa tarde deste domingo (24), policiais militares de todo o Estado prestaram homenagem ao Soldado\xe2\x80\xa6 https://t.co/aoGvresWdU'",,False,Mon May 25 00:37:30 +0000 2020,614,b'1264717193482252288'
1233,Periscope,b'Media briefing on #COVID19 with @DrTedros https://t.co/OpAU2fsxlR',,False,Mon Jun 08 15:24:18 +0000 2020,512,b'1270013794366812160'
1,Twitter Web App,"b""\xe0\xa6\xa6\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x80: \xe0\xa6\x9b'\xe0\xa6\x9a\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa7\x87\xe0\xa6\xb2 \xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa6\xbe\xe0\xa6\xa4 \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa7\xb0\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\xb0 \xe0\xa6\xb9\xe0\xa7\x88 \xe0\xa6\xa5\xe0\xa6\x95\xe0\xa6\xbe \xe0\xa6\x8f\xe0\xa6\x96\xe0\xa6\xa8 \xe0\xa6\xab\xe0\xa6\x9f\xe0\xa7\x8b \xe0\xa6\x85\xe0\xa6\xa8\xe0\xa7\x81\xe0\xa6\xb8\xe0\xa7\xb0\xe0\xa6\xbf \xe0\xa6\x97\xe0\xa7\x83\xe0\xa6\xb9 \xe0\xa6\xae\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa4\xe0\xa7\x8d\xe0\xa7\xb0\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa7\xb0 \xe0\xa6\xa6\xe0\xa7\x8d\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa7\xb0\xe0\xa6\xbe \xe0\xa7\xb0\xe0\xa7\x87'\xe0\xa6\xb2 \xe0\xa6\x86\xe0\xa7\xb0\xe0\xa7\x81 \xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xae\xe0\xa6\xbe\xe0\xa6\xa8 \xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xa4\xe0\xa7\x8d\xe0\xa7\xb0\xe0\xa6\xbe\xe0\xa7\xb0 \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa7\xb0\xe0\xa6\xa4\xe0\xa6\xbf\xe0\xa6\xac\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa7\xe0\xa6\x95\xe0\xa6\xa4\xe0\xa6\xbe\xe0\xa7\xb0 \xe0\xa6\xb2\xe0\xa6\x97\xe2\x80\xa6 https://t.co/kbKyPz1MrA""",,False,Wed Jun 10 09:30:07 +0000 2020,0,b'1270649437111672838'
780,Twitter for Android,"b'His Excellency @KagutaMuseveni will tomorrow, June 9th, preside over the National Heroes Day celebrations at State\xe2\x80\xa6 https://t.co/SwsM3GQZmL'",,False,Mon Jun 08 08:05:05 +0000 2020,147,b'1269903261689090058'
426,Twitter for Android,b'Gachibowli Sports Tower turns Covid hospital\n\nThe 14-storyed Sports Tower at the Gachibowli Stadium was left unused\xe2\x80\xa6 https://t.co/hgOoDDMitJ',,False,Tue Apr 21 02:16:11 +0000 2020,49,b'1252420840957730816'
508,Twitter Web Client,b'the Go to Travel Campaign under consideration by the Japanese government is to stimulate domestic travel demand wit\xe2\x80\xa6 https://t.co/hTiNLVDhct',Kanko_Jpn,False,Wed May 27 02:54:36 +0000 2020,664,b'1265476469909676034'
625,TweetDeck,"b'Protesters at state Capitol are chanting ""Where\'s our flag?"" and pointing to the Capitol, saying it\'s a ""disgrace""\xe2\x80\xa6 https://t.co/m2Cxs5WZUI'",sbauerAP,False,Fri Apr 24 19:04:33 +0000 2020,214,b'1253761766787555335'
55209,Twitter Web App,"b'\xf0\x9f\x9a\xa8 BREAKING \xf0\x9f\x9a\xa8\n\n""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros\xe2\x80\xa6 https://t.co/sDXhYYqy5g'",WHO,False,Wed Mar 11 16:26:53 +0000 2020,53939,b'1237777021742338049'
654,Twitter Web App,"b'1/2\n\n@WHO recently published a summary of transmission of #COVID19, incl. symptomatic, pre-symptomatic and asymptom\xe2\x80\xa6 https://t.co/3HVaBiRhii'",,False,Mon Jun 08 19:53:19 +0000 2020,313,b'1270081492908216320'
130,Twitter for Android,b'Not all heroes wear capes. https://t.co/ucmPdbGLMo',,False,Thu Jul 30 01:28:47 +0000 2020,61,b'1288647695717085185'
