Type;Link;First-Shared
fake;"[Who: ""Daily media briefing on #2019nCoV with @DrTedros""](https://www.pscp.tv/w/crk5uji2mtaymhwxwmtlekx3zuxswkp2uyshzlcvq_ert2xaeyceulujhjmytwgpwcovr7qjusc=)";2020/02/11
fake;[NO TITLE ERROR](https://twitter.com/travelito24/status/1241684250031783938);2020/03/24
fake;[NO TITLE ERROR](https://twitter.com/goodable/status/1247733148580012032/video/1);2020/04/08
fake;[Breast Milk Could Hold Clues to Coronavirus Protection. This New York City Researcher Wants to Study Yours.](https://bit.ly/2ut91yf);2020/04/09
fake;['Sports Tower' at Gachibowli Stadium turns into Covid-19 isolation centre](https://bit.ly/2wv5v3t);2020/04/21
partiallyfalse;[Spike mutation pipeline reveals the emergence of a more transmissible form of SARS-CoV-2 | bioRxiv](https://www.biorxiv.org/content/10.1101/2020.04.29.069054v1);2020/05/06
fake;[Ni Italia ha descubierto la cura del coronavirus, ni la causa de la enfermedad es una bacteria, ni la OMS ha prohibido hacer autopsias - Maldita.es](https://buff.ly/2sfj4b2);2020/05/07
partiallyfalse;[Coronavirus News and Latest Updates](https://cnb.cx/2u4uc6g);2020/05/19
fake;[ArcGIS Dashboards](https://arcg.is/xvusx);2020/05/20
fake;[Rep. Alexandria Ocasio-Cortez says essential workers 'keep the lights on in our society' - ABC News](https://abcn.ws/2ljnk53);2020/05/20
fake;[NO TITLE ERROR](https://twitter.com/mumbaipolice/status/1264660808254054400?s=19);2020/05/24
fake;[SSP](https://bit.ly/2zf867w);2020/05/25
partiallyfalse;[Prima di continuare su YouTube](https://youtu.be/ilxrmk8epjq);2020/05/26
partiallyfalse;[NO TITLE ERROR](https://twitter.com/ramkadam/status/1265492365336293377);2020/05/27
fake;[#StopDCR](http://desantisactnow.com);2020/05/27
fake;[This Is Daddy Yankee | Spotify Playlist](https://open.spotify.com/playlist/37i9dqzf1dwvec1on0czuo?si=79rjb-_7q-aywdcxlopbqa);2020/06/06
partiallyfalse;"[Who: ""Media briefing on #COVID19 with @DrTedros""](https://www.pscp.tv/w/caz-iji2mtaymhwxqmrhww5qv29kqupyhvrpcrkovt4aqjw_f7fyg8xxfkg5eetozlnqgkfe62a=)";2020/06/08
fake;[NO TITLE ERROR](https://twitter.com/cnbc/status/1270057840774983683);2020/06/08
fake;[Advice on the use of masks in the community, during home care and in healthcare settings in the context of the novel coronavirus (COVID-19) outbreak](https://www.who.int/publications/i/item/advice-on-the-use-of-masks-in-the-community-during-home-care-and-in-healthcare-settings-in-the-context-of-the-novel-coronavirus-(2019-ncov)-outbreak);2020/06/08
partiallyfalse;[Factors that make an infectious disease outbreak controllable | PNAS](https://www.pnas.org/content/101/16/6146);2020/06/08
fake;[Página não encontrada - Encurtador de URL - Encurtador de Link - Bityli](https://bityli.com/hrzss);2020/06/09
fake;"[Fernán Quirós: ""[AHORA] Conferencia de prensa junto a Daniel Ferrante, Gabriel Battistella, Paula Zingoni y Laura Cordero para informar sobre la situación sanitaria actual de la Ciudad.""](https://www.pscp.tv/w/ca4tqdf6dkvoywviwvlkamv8mu9ks3jxruxmrvfhwps1jth-5zlfnj_k8guanbzj2kfts450swehaqyvbhhz)";2020/06/09
fake;[Newsmax TV | Live News | Videos - Find NewsmaxTV](http://nws.mx/tv);2020/06/09
fake;[NO TITLE ERROR](https://twitter.com/pibfactcheck/status/1270641032909123585);2020/06/10
fake;[404 Not Found](https://plataforma.quieroauditoriaenergetica.org/blog/14-categoria-blog-1/513-bruselas-5ge-covid);2020/06/11
fake;[ERROR: The request could not be satisfied](https://bci.utah.gov/concealed-firearm/general-information/concealed-firearm-permit-frequently-asked-questions/);2020/06/24
fake;[NO TITLE ERROR](https://twitter.com/carolourdesm/status/1275891764562464768);2020/06/24
partiallyfalse;[Prima di continuare su YouTube](https://youtu.be/sbmgj3acg2y?t=2);2020/06/25
partiallyfalse;[NO TITLE ERROR](https://twitter.com/sunniarab2019/status/1278050092151439360);2020/07/01
fake;[California Gov. Gavin Newsom on The View: 'We are the most un-Trump state in America' - ABC News](http://abcn.ws/31hdv8p);2020/02/10
fake;"[Who: ""Media briefing on #COVID19 with @DrTedros. #coronavirus""](https://www.pscp.tv/w/cte04ti2mtaymhwxzgp4wffrcufwvktapjgvdykprvkmqx0ql9kidsnjzyp0uddstx5lwsbm8uq=)";2020/03/11
fake;[Robredo on quarantine: Too much focus on police, military, too little on health](http://bit.ly/3czfslp);2020/03/15
partiallyfalse;[The New Humanitarian | News feature](https://bit.ly/3a9atrj);2020/04/15
fake;"[Le secrétaire d'Etat Cédric O sur le traçage des malades : ""Oui, l'application StopCovid est utile""](https://www.lejdd.fr/politique/le-secretaire-detat-cedric-o-sur-le-tracage-des-malades-oui-lapplication-stopcovid-est-utile-3964376)";2020/04/26
fake;[TIMEOUT ERROR](http://gst.gov.in);2020/05/03
fake;[ãçåºã®ã²ã£è¿«ç¶æ³ãæ±äº¬é¤ãç·©åå¾å å»çä½å¶ã¯æ´åå¿è¦ | NHKãã¥ã¼ã¹](https://www3.nhk.or.jp/news/html/20200512/k10012426541000.html);2020/05/12
partiallyfalse;[NO TITLE ERROR](https://publichealthmdc.com/documents/forward_dane.pdf);2020/05/19
fake;[Over 100 Recoverded from Covid-19 with CDS by Physicians of the AEMEMI](https://lbry.tv/@kalcker:7/100-recovered-aememi-1:7);2020/05/20
fake;[GEN](http://gen.com.py);2020/05/21
fake;[ScienceDirect](https://www.sciencedirect.com/science/article/pii/s0761842517309415);2020/05/21
fake;[|](https://unnwo.org/);2020/05/24
partiallyfalse;[Wisconsin tourism officials encourage people to not travel to seasonal homes](https://www.nbc15.com/content/news/wisconsin-tourism-officials-encourage-people-to-not-travel-outside-home-communities-570735071.html);2020/05/26
fake;[Files · master · TousAntiCovid sources / StopCovid iOS · GitLab](https://gitlab.inria.fr/stopcovid19/stopcovid-ios/-/blob/master/stopcovid-ios.zip);2020/05/26
fake;[Files · master · TousAntiCovid sources / StopCovid android · GitLab](https://gitlab.inria.fr/stopcovid19/stopcovid-android/-/blob/master/stopcovid-android.zip);2020/05/26
fake;[Coronavirus en Barranquilla: ciudadanos se niegan a practicarse test de COVID-19](http://buff.ly/302mj07);2020/06/02
fake;[CONNECTION ERROR](https://bit.ly/2xzwltv);2020/06/04
partiallyfalse;[IBERIA.COM in Italia - i migliori prezzi per i voli Iberia](http://iberia.com);2020/06/04
